Url,Name,Brand,Model,Type,City,Engine,Color,Fuel_Type,Warranty,Dealer_Name,Chassis,Year,Door,Seats,Power,Date
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692289285,Used 2012 Toyota Camry,Toyota,Camry,,"8031 W 159TH ST, Tinley Park, IL 60477",2.5L 4-Cylinder Gas Engine,,Gas,,Jaguar Land Rover Subaru Volvo Orland Park,,2012,,,,"04/09/2023, 14:23:21"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=685847160,Used 2022 Mitsubishi Outlander Sport SE,Mitsubishi,Outlander Sport SE,,"840 S WEST END BLVD, Quakertown, PA 18951",2.0L 4-Cylinder Gas Engine,,Gas,,Quakertown Mitsubishi,,2022,,,,"04/09/2023, 14:23:35"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=685610574,Used 2020 Kia Optima LX,Kia,Optima LX,,"4150 S Ferdon Blvd, Crestview, FL 32536",2.4L 4-Cylinder Gas Engine,,Gas,,Allen Turner Chevrolet,,2020,,,,"04/09/2023, 14:23:37"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=665610976,Used 2010 Honda Accord EX-L,Honda,Accord EX-L,,"270 Hartford Rd., Manchester, CT 06040",3.5L 6-Cylinder Gas Engine,,Gas,,Manchester Auto Sales,,2010,,,,"04/09/2023, 14:23:57"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690392743,Used 2016 Cadillac ELR,Cadillac,ELR,,"9101 RESEARCH DR, Irvine, CA 92618",Plug-in Hybrid: Gas/Electric,,Gas/Electric,,AutoNation Toyota Irvine,,2016,,,,"04/09/2023, 14:24:40"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690071858,Used 2021 Volkswagen Tiguan SE,Volkswagen,Tiguan SE,,"415 TAUNTON AVE, East Providence, RI 02914",2.0L 4-Cylinder Turbo Gas Engine,,Gas,,Grieco Toyota,,2021,,,,"04/09/2023, 14:24:56"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=670945803,Used 2020 Lincoln Corsair Reserve w/ Equipment Group 201A,Lincoln,Corsair Reserve w/ Equipment Group 201A,,"3244 Gardner Ave, Kansas City, MO 64120",2.0L 4-Cylinder Turbo Gas Engine,,Gas,,Midway Auto Sales,,2020,,,,"04/09/2023, 14:25:11"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=689312849,Used 2013 Cadillac SRX Premium,Cadillac,SRX Premium,,"660 Hokah St, Minong, WI 54859",3.6L 6-Cylinder Flexible Fuel Engine,,Fuel,,Link Ford and RV Minong LLC,,2013,,,,"04/09/2023, 14:25:26"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=659274857,Used 2016 Tesla Model S P90D,Tesla,Model S P90D,,"333 W Rand Rd, Mt. Prospect, IL 60056",Electric Engine,,Electric,,Nelson Automotive,,2016,,,,"04/09/2023, 14:26:07"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692245270,Used 2017 Volkswagen Tiguan S,Volkswagen,Tiguan S,,"5100 Main St., East Petersburg, PA 17520",2.0L 4-Cylinder Turbo Gas Engine,,Gas,,Mercedes-Benz of Lancaster,,2017,,,,"04/09/2023, 14:26:48"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=595272237,Used 2018 Nissan Sentra SR w/ Protection Package,Nissan,Sentra SR w/ Protection Package,,,1.8L 4-Cylinder Gas Engine,,Gas,,Driveway,,2018,,,,"04/09/2023, 14:27:10"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688766475,Used 2018 Kia Sorento EX w/ EX Advanced Touring Package,Kia,Sorento EX w/ EX Advanced Touring Package,,"2901 SE MOBERLY LN, Bentonville, AR 72712",2.0L 4-Cylinder Turbo Gas Engine,,Gas,,Crain Kia of Bentonville,,2018,,,,"04/09/2023, 14:27:25"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690783952,Used 2021 Volkswagen Atlas SEL Premium,Volkswagen,Atlas SEL Premium,,"3520 WESTON RD, Davie, FL 33331",2.0L 4-Cylinder Turbo Gas Engine,,Gas,,Rick Case Volkswagen,,2021,,,,"04/09/2023, 14:27:59"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691493667,Used 2018 Tesla Model X 75D,Tesla,Model X 75D,,"25975 Central Parkway, Beachwood, OH 44122",Electric Engine,,Electric,,Crestmont Buick GMC LLC,,2018,,,,"04/09/2023, 14:28:28"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691428492,Used 2015 Lamborghini Huracan LP 610-4,Lamborghini,Huracan LP 610-4,,"5703 SW ARCTIC DR, Beaverton, OR 97005",5.2L 10-Cylinder Gas Engine,,Gas,,503 Motoring Sales,,2015,,,,"04/09/2023, 14:28:48"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692404682,Used 2016 Kia Forte LX,Kia,Forte LX,,"722 Allegheny Blvd, Franklin, PA 16323",2.0L 4-Cylinder Gas Engine,,Gas,,Allegheny Toyota,,2016,,,,"04/09/2023, 14:28:59"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=630553102,Used 2015 Cadillac SRX Luxury,Cadillac,SRX Luxury,,"1005 N. Scottsdale Rd., Scottsdale, AZ 85257",3.6L 6-Cylinder Gas Engine,,Gas,,Certified Luxury Auto,,2015,,,,"04/09/2023, 14:29:12"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=651912329,Used 2011 Ford Crown Victoria Police Interceptor w/ Trunk Pack,Ford,Crown Victoria Police Interceptor w/ Trunk Pack,,"3901 E LaPalma Ave #A, Anaheim, CA 92807",4.6L 8-Cylinder Flexible Fuel Engine,,Fuel,,Police Interceptors.info/Wild Rose Motors,,2011,,,,"04/09/2023, 14:29:24"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690029463,Used 2013 Honda Civic LX,Honda,Civic LX,,"1125-1165 Massachusetts Avenue, Arlington, MA 02476",1.8L 4-Cylinder Gas Engine,,Gas,,Mirak Chevrolet,,2013,,,,"04/09/2023, 14:29:41"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692229382,Used 2022 Cadillac CT5 V Blackwing w/ Driver Assist Package,Cadillac,CT5 V Blackwing w/ Driver Assist Package,,"2050 Chain Bridge Road, Vienna, VA 22182",6.2L 8-Cylinder Supercharged Gas Engine,,Gas,,Koons Chrysler Dodge Jeep Ram,,2022,,,,"04/09/2023, 14:29:58"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=687248812,Used 2017 Honda Fit LX,Honda,Fit LX,,"355 US HIGHWAY 46, Parsippany, NJ 07054",1.5L 4-Cylinder Gas Engine,,Gas,,Jan Auto Sales LLC,,2017,,,,"04/09/2023, 14:30:11"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692863595,Used 2014 Kia Forte LX,Kia,Forte LX,,"965 SAINT GEORGES AVE, Rahway, NJ 07065",1.8L 4-Cylinder Gas Engine,,Gas,,Square One Auto Sales,,2014,,,,"04/09/2023, 14:30:25"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688128369,Used 2018 Cadillac XT5 Luxury,Cadillac,XT5 Luxury,,,3.6L 6-Cylinder Gas Engine,,Gas,,Sanford Imports Buy 100% Online - Delivery to Your Door Tampa,,2018,,,,"04/09/2023, 14:30:40"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692671129,Used 2014 Honda Accord EX-L,Honda,Accord EX-L,,"1950 S MESA DR, Mesa, AZ 85210",2.4L 4-Cylinder Gas Engine,,Gas,,Brown & Brown Auto Center,,2014,,,,"04/09/2023, 14:30:52"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690685900,Used 2021 Ford Escape SEL,Ford,Escape SEL,,"10724 US-1, North Chesterfield, VA 23237",1.5L 3-Cylinder Turbo Gas Engine,,Gas,,Haley Ford,,2021,,,,"04/09/2023, 14:31:04"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691951666,Used 2018 Honda CR-V EX-L,Honda,CR-V EX-L,,"8510 RAUSCH DR, Plain City, OH 43064",1.5L 4-Cylinder Turbo Gas Engine,,Gas,,CapCity Customs,,2018,,,,"04/09/2023, 14:31:22"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=689497541,Certified 2020 Buick Encore Preferred w/ Safety Package,Buick,Encore Preferred w/ Safety Package,,"1115 S MAIN ST, Adrian, MI 49221",1.4L 4-Cylinder Turbo Gas Engine,,Gas,,Clift Buick GMC,,2020,,,,"04/09/2023, 14:31:36"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=679511723,Used 2022 Ford F150 XLT,Ford,F150 XLT,,"8360 SO STATE ST, Midvale, UT 84047",3.5L 6-Cylinder Turbo Gas Engine,,Gas,,America Auto Group,,2022,,,,"04/09/2023, 14:32:19"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=677248909,Used 2015 Maserati Ghibli S Q4,Maserati,Ghibli S Q4,,"4620 NW 39th Street Expwy, Oklahoma City, OK 73122",3.0L 6-Cylinder Turbo Gas Engine,,Gas,,H M Auto Center,,2015,,,,"04/09/2023, 14:32:31"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692593930,Used 2017 Lincoln Continental Reserve w/ Luxury Package,Lincoln,Continental Reserve w/ Luxury Package,,"1901 Little York, Houston, TX 77093",3.0L 6-Cylinder Turbo Gas Engine,,Gas,,USA Direct Auto,,2017,,,,"04/09/2023, 14:33:12"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691143320,Used 2014 Cadillac XTS Luxury w/ Driver Awareness Package,Cadillac,XTS Luxury w/ Driver Awareness Package,,"1358 Dundee Ave, Elgin, IL 60120",3.6L 6-Cylinder Gas Engine,,Gas,,CPM Motors,,2014,,,,"04/09/2023, 14:33:48"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691098198,Used 2021 Kia Seltos SX,Kia,Seltos SX,,"268 State Highway 7, Sidney, NY 13838",1.6L 4-Cylinder Turbo Gas Engine,,Gas,,Butler Auto Sales Inc.,,2021,,,,"04/09/2023, 15:21:34"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692545776,Certified 2022 Cadillac XT6 Premium Luxury,Cadillac,XT6 Premium Luxury,,"993 Autoshow Dr, Henderson, NV 89014",3.6L 6-Cylinder Gas Engine,,Gas,,Findlay Cadillac,,2022,,,,"04/09/2023, 15:21:35"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=689801612,Used 2022 Kia K5 LXS,Kia,K5 LXS,,"1275 E STORY RD, Winter Garden, FL 34787",1.6L 4-Cylinder Turbo Gas Engine,,Gas,,RubyCar - Florida,,2022,,,,"04/09/2023, 15:21:39"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692580506,Used 2022 Alfa Romeo Stelvio Veloce,Alfa,Romeo Stelvio Veloce,,"3404 S Speedway Dr, Gilbert, AZ 85297",2.0L 4-Cylinder Turbo Gas Engine,,Gas,,Bill Luke Santan,,2022,,,,"04/09/2023, 15:21:40"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=681615843,Used 2014 Cadillac Escalade ESV Premium,Cadillac,Escalade ESV Premium,,"405 Swanton Road, St Albans, VT 05478",6.2L 8-Cylinder Flexible Fuel Engine,,Fuel,,Handy Buick GMC Cadillac Inc,,2014,,,,"04/09/2023, 15:21:43"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=688164824,Used 2021 Ford F250 XL w/ STX Appearance Package,Ford,F250 XL w/ STX Appearance Package,,"3455 Orlando Drive South, Highway 17-92, Sanford, FL 32773",6.7L 8-Cylinder Turbo Diesel Engine,,Electric,,Gibson Truck World,,2021,,,,"04/09/2023, 15:21:45"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=678860196,Used 2022 Cadillac Escalade Sport Platinum,Cadillac,Escalade Sport Platinum,,"512 4th Ave, Holdrege, NE 68949",6.2L 8-Cylinder Gas Engine,,Gas,,"Spady Sales, Service & Parts",,2022,,,,"04/09/2023, 15:21:47"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691523094,Used 2012 Maserati GranTurismo MC,Maserati,GranTurismo MC,,"641 ESTES AVE, Schaumburg, IL 60193",4.7L 8-Cylinder Gas Engine,,Gas,,Strada Motorsports,,2012,,,,"04/09/2023, 15:21:51"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=654718209,Used 2019 Kia Optima LX,Kia,Optima LX,,"13350 S US Highway 41, Terre Haute, IN 47802",2.4L 4-Cylinder Gas Engine,,Gas,,Terre Haute Auto and Equipment,,2019,,,,"04/09/2023, 23:53:28"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=687048935,Used 2020 GMC Canyon SLT w/ Trailering Package,GMC,Canyon SLT w/ Trailering Package,,"8200 W KELLOGG DR, Wichita, KS 67209",3.6L 6-Cylinder Gas Engine,,Gas,,Davis Moore Chevrolet,,2020,,,,"04/09/2023, 23:53:28"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690282914,Used 2019 Honda CR-V EX-L,Honda,CR-V EX-L,,"2269 North Henbest Drive, Fayetteville, AR 72704",1.5L 4-Cylinder Turbo Gas Engine,,Gas,,Adventure Subaru,,2019,,,,"04/09/2023, 23:53:36"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=689992724,Used 2019 Ford Ranger XLT w/ Equipment Group 302A Luxury,Ford,Ranger XLT w/ Equipment Group 302A Luxury,,"400 N JEFFERSON ST, Lexington, NE 68850",2.3L 4-Cylinder Turbo Gas Engine,,Gas,,Platte Valley Auto Mart,,2019,,,,"04/09/2023, 23:53:37"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=685752377,Used 2018 Honda Civic EX-L,Honda,Civic EX-L,,"119 SPENCER ST, Manchester, CT 06040",1.5L 4-Cylinder Turbo Gas Engine,,Gas,,Vernon Auto Sales,,2018,,,,"04/09/2023, 23:53:37"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=681584491,Used 2016 Volkswagen Jetta SEL,Volkswagen,Jetta SEL,,"1121 S. Frontage Rd, Deer Park, WA 99006",1.8L 4-Cylinder Turbo Gas Engine,,Gas,,Parkway Auto Center,,2016,,,,"04/09/2023, 23:53:37"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=690782366,Used 2017 Volkswagen Jetta SE,Volkswagen,Jetta SE,,"4920 LIMA RD, Fort Wayne, IN 46808",1.4L 4-Cylinder Turbo Gas Engine,,Gas,,Rohrmax Used Car Superstore,,2017,,,,"04/09/2023, 23:53:43"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=686252532,Used 2014 INFINITI QX60 AWD w/ Premium Plus Package,INFINITI,QX60 AWD w/ Premium Plus Package,,"5320 Westerville Rd, Westerville, OH 43081",3.5L 6-Cylinder Gas Engine,,Gas,,Royal Five Auto Sales,,2014,,,,"04/09/2023, 23:53:43"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=692048885,Used 2021 Honda Pilot EX-L,Honda,Pilot EX-L,,"2522 N DALE MABRY HWY, Tampa, FL 33607",3.5L 6-Cylinder Gas Engine,,Gas,,Westshore Honda I-275 & Dale Mabry,,2021,,,,"04/09/2023, 23:53:47"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=675668411,Used 2013 Kia Optima EX,Kia,Optima EX,,"5936 Land o Lakes Blvd, Hudson, FL 34667",2.4L 4-Cylinder Gas Engine,,Gas,,HOBGOOD AUTO SALES,,2013,,,,"04/09/2023, 23:53:48"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=691001537,Used 2018 Kia Stinger Premium,Kia,Stinger Premium,,"450 N 54TH ST STE 4, Chandler, AZ 85226",2.0L 4-Cylinder Turbo Gas Engine,,Gas,,Miracle Motors LLC,,2018,,,,"04/09/2023, 23:53:49"
https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=684316190,Used 2018 Honda CR-V EX,Honda,CR-V EX,,"140 Ridgedale Ave., Morristown, NJ 07960",1.5L 4-Cylinder Turbo Gas Engine,,Gas,,CarLink,,2018,,,,"04/09/2023, 23:53:50"
